!Num,...Nombre...,#Uni,.PotIns,.CVaria,Taxa de Falha (%)
1,BARRANQUILL3,1,64,5.74,24.64
3,BARRANQUILL4,1,63,5.74,29.17
5,CARTAGENA 1,1,61,5.74,49.39
7,CARTAGENA 2,1,60,5.74,23.92
9,CARTAGENA 3,1,66,5.74,33.97
11,GUAJIRA 1,1,151,5.74,44.56
13,GUAJIRA 2,1,145,5.74,23.36
15,FLORES 1,1,160,5.74,6.68
17,PAIPA 1,1,31,9.38,33.98
18,PAIPA 2,1,72,9.38,7.14
19,PAIPA 3,1,70,9.38,9.15
20,TASAJERO 1,1,163,9.38,7.94
21,TASAJERO 2,1,165,9.38,20
22,ZIPAEMG2,1,34,9.38,23.49
23,ZIPAEMG3,1,63,9.38,26.35
24,ZIPAEMG4,1,64,9.38,22.49
25,ZIPAEMG5,1,63,9.38,12.03
26,TEBSAB,1,791,5.74,4.64
28,TERMODORADA1,1,51,5.74,23.21
31,TERMOSIERRA,1,445,5.74,29.4
33,MERILECTRICA,1,167,5.74,3.58
34,TERMOVALLE 2,1,205,5.74,7.78
36,PAIPA 4,1,154,9.38,0.95
37,PROELECTRIC1,1,45,5.74,13.18
39,PROELECTRIC2,1,45,5.74,10.6
41,EMCALI,1,229,5.74,15.63
43,TERMOCENTRO,1,264,5.74,16.79
44,CANDELARIA1,1,157,5.74,0
46,CANDELARIA2,1,157,5.74,22.44
48,TERMO YOPAL2,1,30,5.74,3.37
50,TBARRANCA,3,36,5.74,35
52,TC_GECELCA3,1,164,9.38,20
53,CC_FLORES4,1,450,5.74,10.92
